166500.00 8
 6 -21669755.54380   7987331.68570  13158216.47380  24404476.01600
 7 -25366152.47030  -6163948.67820   6248686.78930  23759814.34400
 9 -15284546.62920  -4151923.13430  21284589.10570  21091442.41400
16   2291942.92170 -21142644.26040  15498450.65990  20728370.67200
22  -9593445.31850 -24167916.70670  -5119420.95920  24203535.89800
23  -7806207.23610 -15343163.71420  20382273.20120  20327925.96900
26   9599777.81710 -13268056.70800  20888337.25050  21776754.74200
166524.00 8
 3 -13221582.73400 -22986287.88560   1883043.47900  22678609.33600
 6 -21671407.55520   7987051.43260  13155661.08480  24404862.35200
 7 -25365380.09580  -6164127.82490   6251700.83770  23759258.93000
 9 -15283144.36340  -4154247.87710  21285140.52000  21091048.34400
16   2292866.49230 -21140857.06280  15500772.23310  20728250.02300
22  -9592765.00200 -24167521.31630  -5122423.52890  24204253.53900
23  -7804740.29990 -15345250.20940  20381208.68010  20327899.03100
26   9601101.95910 -13265752.90910  20889204.00630  21777085.88300
166525.00 8
 3 -13221444.86360 -22986628.99900   1879883.39330  22679281.39100
 6 -21673059.26280   7986771.29340  13153105.41650  24405248.96100
 7 -25364607.35940  -6164306.99000   6254714.75710  23758703.93800
 9 -15281742.19180  -4156572.75780  21285691.47990  21090654.53100
16   2293790.28560 -21139069.64990  15503093.46720  20728129.93800
22  -9592084.47330 -24167125.63610  -5125425.98890  24204971.77300
23  -7803273.54570 -15347336.67810  20380143.73110  20327872.39100
26   9602426.28350 -13263449.09130  20890070.31680  21777416.86700
166526.00 8
 3 -13221306.83270 -22986969.76710   1876723.26770  22679954.72700
 6 -21674710.66640   7986491.26800  13150549.46900  24405635.39800
 7 -25363834.26120  -6164486.17350   6257728.54750  23758148.73400
 9 -15280340.11440  -4158897.77650  21286241.98550  21090260.67200
16   2294714.30170 -21137282.02170  15505414.36210  20728009.87500
22  -9591403.73250 -24166729.66610  -5128428.33900  24205690.64800
23  -7801806.97350 -15349423.12010  20379078.35440  20327846.10200
26   9603750.79030 -13261145.25440  20890936.18210  21777747.69500
166527.00 8
 3 -13221168.64120 -22987310.18970   1873563.10220  22680627.93000
 6 -21676361.76610   7986211.35640  13147993.24230  24406023.60900
 7 -25363060.80130  -6164665.37550   6260742.20900  23757594.29700
 9 -15278938.13130  -4161222.93290  21286792.03670  21089867.63300
16   2295638.54050 -21135494.17840  15507734.91790  20727889.89100
22  -9590722.77960 -24166333.40620  -5131430.57940  24206409.28900
